optimization_stamp,window_index,frame_stamp,jacobian_count,covariance_radius,alpha_weight,constraint_count,mean_beta_weight,mean_hybrid_weight,reference_radius,feature_source
1403638602.7778294,6,1403638602.3778296,105,0.0016407588387367359,1.2228408695237993,105,1.9258730158730155,1.467880960016706,0.0020063869650396894,1
1403638602.7778294,7,1403638602.4778295,81,0.0020601112772996237,0.97392164547035753,81,1.891269841269841,1.4041317151658661,0.0020063869650396894,1
1403638602.7778294,8,1403638602.5778294,79,0.0017630330892909015,1.1380313717462136,79,1.9033152501506934,1.4237596842403042,0.0020063869650396894,1
1403638602.7778294,9,1403638602.6778295,59,0.0026215450475100153,0.7653452176781731,59,1.4212133440946997,1.2017665823448733,0.0020063869650396894,1
1403638602.7778294,10,1403638602.7778294,51,0.0031403171075141101,0.63891221693466327,51,1.1708527855586688,1.0629715274553331,0.0020063869650396894,1
1403638602.8778296,0,1403638601.8778296,0,-1,1,0,1,1,0.0020100634039768939,0
1403638602.8778296,1,1403638601.9778295,46,0.0023976075755350354,0.83836213419051298,46,3.5869565217391304,1.7229551950661333,0.0020100634039768939,0
1403638602.8778296,2,1403638602.0778294,59,0.0020374931214320389,0.98653751653607247,59,3.1949152542372881,1.7097795712252171,0.0020100634039768939,0
1403638602.8778296,3,1403638602.1778295,54,0.0021884136444536568,0.9185025002340047,54,2.8919753086419755,1.6126498899049864,0.0020100634039768939,0
1403638602.8778296,4,1403638602.2778294,66,0.0018870688032816474,1.0651775920842721,66,2.3964646464646466,1.5243597205154704,0.0020100634039768939,0
1403638602.8778296,5,1403638602.3778296,57,0.0020817604033406003,0.96555943746040407,57,2.1005847953216374,1.4056936539247695,0.0020100634039768939,0
1403638602.8778296,6,1403638602.4778295,47,0.0022640505786487059,0.88781735838101117,47,2.1063829787234041,1.3807463054836671,0.0020100634039768939,0
1403638602.8778296,7,1403638602.5778294,44,0.0021910261513887826,0.91740730830748629,44,2.0969155844155849,1.3736763746537315,0.0020100634039768939,0
1403638602.8778296,8,1403638602.6778295,56,0.0018323484493962079,1.0969875323873286,56,2.0684948979591837,1.4199066323876792,0.0020100634039768939,0
1403638602.8778296,9,1403638602.7778294,49,0.0019763922060713223,1.0170366983851364,49,1.4406948493683185,1.1954333380060862,0.0020100634039768939,0
1403638602.8778296,10,1403638602.8778296,39,0.0022248113189173519,0.90347589788200122,39,1.1786223036223042,1.0711624900607475,0.0020100634039768939,0
1403638602.8778296,0,1403638601.8778296,0,-1,1,0,1,1,0.0020100634039768939,1
1403638602.8778296,1,1403638601.9778295,84,0.0020799157437837797,0.96641578390102933,84,3.6071428571428572,1.856807474770112,0.0020100634039768939,1
1403638602.8778296,2,1403638602.0778294,97,0.00173256254516662,1.160167873641518,97,3.1030927835051547,1.8112520628122455,0.0020100634039768939,1
1403638602.8778296,3,1403638602.1778295,95,0.0017740323063395328,1.1330478012119058,95,2.8228070175438607,1.7437170425071302,0.0020100634039768939,1
1403638602.8778296,4,1403638602.2778294,99,0.0017748218593382232,1.1325437498985871,99,2.3863636363636362,1.608517495796556,0.0020100634039768939,1
1403638602.8778296,5,1403638602.3778296,105,0.0016406918899731656,1.2251315534995237,105,2.0447619047619052,1.5144586694069899,0.0020100634039768939,1
1403638602.8778296,6,1403638602.4778295,81,0.0020609499723938389,0.97530916853947736,81,2.0253086419753088,1.4551475851722981,0.0020100634039768939,1
1403638602.8778296,7,1403638602.5778294,79,0.0017601933533729847,1.1419560243907829,79,2.0150693188667868,1.4705585600223134,0.0020100634039768939,1
1403638602.8778296,8,1403638602.6778295,85,0.002094539507471945,0.9596684124631234,85,2.0953501400560226,1.4377698049209966,0.0020100634039768939,1
1403638602.8778296,9,1403638602.7778294,71,0.0025208404733663104,0.79737826538966627,71,1.4598088531187121,1.1910726961211984,0.0020100634039768939,1
1403638602.8778296,10,1403638602.8778296,58,0.0028620215364488252,0.70232294843978194,58,1.1800218938149973,1.0576939328662045,0.0020100634039768939,1
1403638602.9778295,0,1403638601.9778295,0,-1,1,0,1,1,0.0020114380681050402,0
1403638602.9778295,1,1403638602.0778294,59,0.0020375566865398222,0.9871814028010496,59,3.5084745762711864,1.8462015903185607,0.0020114380681050402,0
1403638602.9778295,2,1403638602.1778295,54,0.0021892644878271634,0.91877344162348551,54,3.1481481481481484,1.7080738188753466,0.0020114380681050402,0
1403638602.9778295,3,1403638602.2778294,66,0.0018869315260066661,1.0659836037409733,66,2.66919191919192,1.6180329959396473,0.0020114380681050402,0
1403638602.9778295,4,1403638602.3778296,57,0.0020789529779156944,0.96752456138842402,57,2.2836257309941517,1.4751201920601993,0.0020114380681050402,0
1403638602.9778295,5,1403638602.4778295,47,0.0022604553327966658,0.88983756454787444,47,2.3046099290780147,1.4523985065605431,0.0020114380681050402,0
1403638602.9778295,6,1403638602.5778294,44,0.0021892794295499877,0.9187671710406089,44,2.2670454545454541,1.4378032964172469,0.0020114380681050402,0
1403638602.9778295,7,1403638602.6778295,55,0.0018766093734612702,1.0718469685542966,55,2.1707359307359306,1.4526475681235635,0.0020114380681050402,0
1403638602.9778295,8,1403638602.7778294,58,0.0017717747711362519,1.1352673606561687,58,1.8670155993431856,1.3789311233705923,0.0020114380681050402,0
1403638602.9778295,9,1403638602.8778296,45,0.0020116948749021278,0.99987234306738482,45,1.4150440917107578,1.1998174444735799,0.0020114380681050402,0
1403638602.9778295,10,1403638602.9778295,40,0.0021572726326208533,0.93239863969412162,40,1.1649801587301591,1.0799791802626744,0.0020114380681050402,0
1403638602.9778295,0,1403638601.9778295,0,-1,1,0,1,1,0.0020114380681050402,1
1403638602.9778295,1,1403638602.0778294,97,0.0017308186026535576,1.162131066202581,97,3.4845360824742269,1.9949516709618527,0.0020114380681050402,1
1403638602.9778295,2,1403638602.1778295,95,0.0017704169101680938,1.1361380794278917,95,3.1157894736842104,1.8698474121373614,0.0020114380681050402,1
1403638602.9778295,3,1403638602.2778294,99,0.0017735620743440338,1.1341232975163764,99,2.6700336700336704,1.7181713954068081,0.0020114380681050402,1
1403638602.9778295,4,1403638602.3778296,105,0.0016387137712906093,1.2274492979459632,105,2.1968253968253975,1.582128174443473,0.0020114380681050402,1
1403638602.9778295,5,1403638602.4778295,81,0.0020587763434748094,0.97700659640868448,81,2.1788065843621407,1.5186651887030715,0.0020114380681050402,1
1403638602.9778295,6,1403638602.5778294,79,0.0017574598629806258,1.1445143701283005,79,2.1358649789029536,1.522844432881028,0.0020114380681050402,1
1403638602.9778295,7,1403638602.6778295,83,0.0021709246753091951,0.92653517230788307,83,2.1949799196787145,1.4696406706095082,0.0020114380681050402,1
1403638602.9778295,8,1403638602.7778294,81,0.0019955145200976172,1.0079796703291561,81,1.8171663727219285,1.3482022941666669,0.0020114380681050402,1
1403638602.9778295,9,1403638602.8778296,64,0.0024347934486321238,0.82612267140568896,64,1.3847098214285716,1.1718079311723366,0.0020114380681050402,1
1403638602.9778295,10,1403638602.9778295,52,0.0028187644208476068,0.71358856853322905,52,1.1630189255189263,1.0574492890090705,0.0020114380681050402,1
1403638603.0778294,0,1403638602.0778294,0,-1,1,0,1,1,0.0020137434289925985,0
1403638603.0778294,1,1403638602.1778295,54,0.0021874025451871686,0.9206094385431417,54,3.6481481481481484,1.8231907261830247,0.0020137434289925985,0
1403638603.0778294,2,1403638602.2778294,66,0.0018848667334472042,1.0683744337243906,66,2.9242424242424243,1.6977926654475277,0.0020137434289925985,0
1403638603.0778294,3,1403638602.3778296,57,0.0020753487600691867,0.97031567307533673,57,2.6169590643274852,1.5750382205619029,0.0020137434289925985,0
1403638603.0778294,4,1403638602.4778295,47,0.0022563905923964258,0.89246225178322469,47,2.539007092198581,1.5267086217683805,0.0020137434289925985,0
1403638603.0778294,5,1403638602.5778294,44,0.002187315140243134,0.92064622602518909,44,2.478409090909091,1.5065534245526806,0.0020137434289925985,0
1403638603.0778294,6,1403638602.6778295,55,0.0018752750471250767,1.0738389720909491,55,2.3260606060606062,1.5072500368032165,0.0020137434289925985,0
1403638603.0778294,7,1403638602.7778294,58,0.0017690393615685657,1.1383259596932085,58,2.026231527093596,1.4392205113191454,0.0020137434289925985,0
1403638603.0778294,8,1403638602.8778296,50,0.0018407887126124271,1.0939568540349838,50,1.6903095238095238,1.3242027918416741,0.0020137434289925985,0
1403638603.0778294,9,1403638602.9778295,41,0.0021112358695721794,0.9538220991862284,41,1.3500967866821518,1.1734355858591576,0.0020137434289925985,0
1403638603.0778294,10,1403638603.0778294,39,0.0021440423567633113,0.93922744699530347,39,1.1489214489214494,1.0771484335278971,0.0020137434289925985,0
1403638603.0778294,0,1403638602.0778294,0,-1,1,0,1,1,0.0020137434289925985,1
1403638603.0778294,1,1403638602.1778295,95,0.001764352286581238,1.1413499697923721,95,3.6210526315789475,2.0203475124201367,0.0020137434289925985,1
1403638603.0778294,2,1403638602.2778294,99,0.001769171131547937,1.1382411758158595,99,2.9595959595959598,1.8117625417313736,0.0020137434289925985,1
1403638603.0778294,3,1403638602.3778296,105,0.0016358694095920602,1.2309927780205692,105,2.4793650793650799,1.6773164713798534,0.0020137434289925985,1
1403638603.0778294,4,1403638602.4778295,81,0.0020575452858562116,0.97871159523694973,81,2.382716049382716,1.5882539548071932,0.0020137434289925985,1
1403638603.0778294,5,1403638602.5778294,79,0.001756708797885293,1.1463160151623997,79,2.2970464135021103,1.581196310524547,0.0020137434289925985,1
1403638603.0778294,6,1403638602.6778295,83,0.00216956293608661,0.92817930998808729,83,2.3323293172690769,1.5193306875817527,0.0020137434289925985,1
1403638603.0778294,7,1403638602.7778294,81,0.0020118950797873548,1.0009187105350639,81,1.9504997060552611,1.3957038937043242,0.0020137434289925985,1
1403638603.0778294,8,1403638602.8778296,78,0.0017986588743439899,1.1195805150807459,78,1.8169719169719167,1.3740327759737339,0.0020137434289925985,1
1403638603.0778294,9,1403638602.9778295,60,0.0020867280479792243,0.96502437437532718,60,1.3987698412698413,1.2066935780492671,0.0020137434289925985,1
1403638603.0778294,10,1403638603.0778294,55,0.002273139724803426,0.88588633906643843,55,1.1607503607503613,1.0898127679777698,0.0020137434289925985,1
1403638603.1778295,0,1403638602.1778295,0,-1,1,0,1,1,0.0020072898615914295,0
1403638603.1778295,1,1403638602.2778294,66,0.00188467208096922,1.0650605385734537,66,3.3333333333333335,1.8687620630122377,0.0020072898615914295,0
